ID,Behavior,Time
EM08_WD1,A = LOCOMOTION,0.63672
EM08_WD1,W = REARED SNIFF,3.53321
EM08_WD1,A = LOCOMOTION,0.88672
EM08_WD1,W = REARED SNIFF,2.74609
EM08_WD1,A = LOCOMOTION,0.31836
EM08_WD1,W = REARED SNIFF,6.60547
EM08_WD1,A = LOCOMOTION,0.82617
EM08_WD1,W = REARED SNIFF,11.98633
EM08_WD1,A = LOCOMOTION,0.25391
EM08_WD1,W = REARED SNIFF,3.34375
EM08_WD1,A = LOCOMOTION,0.25391
EM08_WD1,W = REARED SNIFF,3.45703
EM08_WD1,A = LOCOMOTION,0.44531
EM08_WD1,W = REARED SNIFF,6.4043
EM08_WD1,A = LOCOMOTION,1.76563
EM08_WD1,H = JUMPING,0.66797
EM08_WD1,J = DIGGING,1.33985
EM08_WD1,W = REARED SNIFF,0.95313
EM08_WD1,W = REARED SNIFF,4.48633
EM08_WD1,A = LOCOMOTION,0.35156
EM08_WD1,W = REARED SNIFF,7.24219
EM08_WD1,W = REARED SNIFF,9.85745
EM08_WD1,J = DIGGING,2.0469
EM08_WD1,A = LOCOMOTION,1.6719
EM08_WD1,W = REARED SNIFF,5.0371
EM08_WD1,W = REARED SNIFF,5.2969
EM08_WD1,,
EM08_WD1,W = REARED SNIFF,0.5742
EM08_WD1,A = LOCOMOTION,0.668
EM08_WD1,W = REARED SNIFF,0.3008
EM08_WD1,A = LOCOMOTION,0.3496
EM08_WD1,W = REARED SNIFF,6.3183
EM08_WD1,A = LOCOMOTION,0.7481
EM08_WD1,W = REARED SNIFF,1.2579
EM08_WD1,A = LOCOMOTION,2.7324
EM08_WD1,W = REARED SNIFF,4.8769
EM08_WD1,W = REARED SNIFF,1.0488
EM08_WD1,A = LOCOMOTION,0.2227
EM08_WD1,A = LOCOMOTION,0.7637
EM08_WD1,W = REARED SNIFF,9.6973
EM08_WD1,A = LOCOMOTION,1.1797
EM08_WD1,W = REARED SNIFF,11.6425
EM08_WD1,J = DIGGING,2.4375
EM08_WD1,A = LOCOMOTION,1.0157
EM08_WD1,,
EM08_WD1,,
EM08_WD1,L = SHAKING,1.4141
EM08_WD1,J = DIGGING,3.6718
EM08_WD1,A = LOCOMOTION,4.3633
EM08_WD1,A = LOCOMOTION,0.6993
EM08_WD1,J = DIGGING,4.7539
EM08_WD1,W = REARED SNIFF,3.2422
EM08_WD1,L = SHAKING,2.1133
EM08_WD1,K = TWITCHING,0.1289
EM08_WD1,A = LOCOMOTION,0.8242
EM08_WD1,W = REARED SNIFF,14.7344
EM08_WD1,E = AGITATION OTHER,3.543
EM08_WD1,A = LOCOMOTION,2.4297
EM08_WD1,J = DIGGING,0.8438
EM08_WD1,W = REARED SNIFF,20.3438
EM08_WD1,A = LOCOMOTION,0.2598
EM08_WD1,,
EM08_WD1,A = LOCOMOTION,2.9082
EM08_WD1,W = REARED SNIFF,5.0274
EM08_WD1,A = LOCOMOTION,2.6445
EM08_WD1,J = DIGGING,0.1563
EM08_WD1,H = JUMPING,0.543
EM08_WD1,W = REARED SNIFF,30.5118
EM08_WD1,A = LOCOMOTION,0.5391
EM08_WD1,J = DIGGING,0.125
EM08_WD1,H = JUMPING,0.0938
EM08_WD1,W = REARED SNIFF,1.1289
EM08_WD1,A = LOCOMOTION,0.0976
EM08_WD1,W = REARED SNIFF,18.5429
EM08_WD1,A = LOCOMOTION,0.8868
EM08_WD1,W = REARED SNIFF,0.3789
EM08_WD1,A = LOCOMOTION,1.0157
EM08_WD1,W = REARED SNIFF,7.2891
EM08_WD1,W = REARED SNIFF,3.0879
EM08_WD1,,
EM08_WD1,W = REARED SNIFF,1.7949
EM08_WD1,D = GROOMING,8.418
EM08_WD1,W = REARED SNIFF,3.9883
EM08_WD1,G = EATING,1.1562
EM08_WD1,W = REARED SNIFF,3.4687
EM08_WD1,H = JUMPING,0.4766
EM08_WD1,G = EATING,0.1601
EM08_WD1,J = DIGGING,2.9804
EM08_WD1,F = CHEWING,2.5937
EM08_WD1,J = DIGGING,1.9727
EM08_WD1,W = REARED SNIFF,6.3203
EM08_WD1,W = REARED SNIFF,5.7461
EM08_WD1,A = LOCOMOTION,0.5703
EM08_WD1,W = REARED SNIFF,11.4571
EM08_WD1,A = LOCOMOTION,1.6523
EM08_WD1,W = REARED SNIFF,8.75
EM08_WD1,A = LOCOMOTION,1.875
EM08_WD1,,
EM08_WD1,H = JUMPING,0.289
EM08_WD1,A = LOCOMOTION,0.5742
EM08_WD1,W = REARED SNIFF,2.4453
EM08_WD1,A = LOCOMOTION,1.082
EM08_WD1,W = REARED SNIFF,0.125
EM08_WD1,W = REARED SNIFF,6.2422
EM08_WD1,W = REARED SNIFF,1.6875
EM08_WD1,W = REARED SNIFF,12.1875
EM08_WD1,J = DIGGING,0.1094
EM08_WD1,J = DIGGING,0.4805
EM08_WD1,K = TWITCHING,3.0664
EM08_WD1,,
EM08_WD1,,
EM08_WD1,S = SCRATCHING,2.0078
EM08_WD1,D = GROOMING,0.2851
EM08_WD1,F = CHEWING,0.9219
EM08_WD1,S = SCRATCHING,1.2578
EM08_WD1,F = CHEWING,1.8164
EM11_WD1,W = REARED SNIFF,0.289062
EM11_WD1,A = LOCOMOTION,1.496094
EM11_WD1,W = REARED SNIFF,1.773438
EM11_WD1,A = LOCOMOTION,0.539063
EM11_WD1,W = REARED SNIFF,10.414062
EM11_WD1,A = LOCOMOTION,1.92578
EM11_WD1,W = REARED SNIFF,11.01172
EM11_WD1,A = LOCOMOTION,0.53907
EM11_WD1,J = DIGGING,0.12891
EM11_WD1,H = JUMPING,1.33594
EM11_WD1,W = REARED SNIFF,12.42578
EM11_WD1,A = LOCOMOTION,1.39844
EM11_WD1,J = DIGGING,0.44141
EM11_WD1,W = REARED SNIFF,5.49218
EM11_WD1,A = LOCOMOTION,1.47656
EM11_WD1,J = DIGGING,1.52344
EM11_WD1,W = REARED SNIFF,21.03516
EM11_WD1,A = LOCOMOTION,1.55859
EM11_WD1,W = REARED SNIFF,5.54297
EM11_WD1,E = AGITATION OTHER,1.28906
EM11_WD1,W = REARED SNIFF,4.16796
EM11_WD1,W = REARED SNIFF,0.71484
EM11_WD1,A = LOCOMOTION,0.50781
EM11_WD1,W = REARED SNIFF,15.22269
EM11_WD1,A = LOCOMOTION,0.8125
EM11_WD1,W = REARED SNIFF,4.8516
EM11_WD1,,
EM11_WD1,W = REARED SNIFF,10.3945
EM11_WD1,A = LOCOMOTION,1.4961
EM11_WD1,W = REARED SNIFF,1.1133
EM11_WD1,A = LOCOMOTION,0.9257
EM11_WD1,W = REARED SNIFF,10.6054
EM11_WD1,A = LOCOMOTION,0.8282
EM11_WD1,W = REARED SNIFF,6.9649
EM11_WD1,E = AGITATION OTHER,0.2852
EM11_WD1,W = REARED SNIFF,9.5469
EM11_WD1,A = LOCOMOTION,0.9883
EM11_WD1,W = REARED SNIFF,17.0117
EM11_WD1,A = LOCOMOTION,1.1133
EM11_WD1,W = REARED SNIFF,7.9375
EM11_WD1,W = REARED SNIFF,1.6993
EM11_WD1,J = DIGGING,0.5391
EM11_WD1,A = LOCOMOTION,0.3164
EM11_WD1,,
EM11_WD1,,
EM11_WD1,,
EM11_WD1,F = CHEWING,1.0195
EM11_WD1,W = REARED SNIFF,2.2148
EM11_WD1,H = JUMPING,0.1601
EM11_WD1,W = REARED SNIFF,11.1992
EM11_WD1,A = LOCOMOTION,1.3008
EM11_WD1,W = REARED SNIFF,2.957
EM11_WD1,A = LOCOMOTION,0.4766
EM11_WD1,W = REARED SNIFF,13.5938
EM11_WD1,A = LOCOMOTION,2.1953
EM11_WD1,W = REARED SNIFF,3.9531
EM11_WD1,,
EM11_WD1,W = REARED SNIFF,15.8164
EM11_WD1,E = AGITATION OTHER,0.5742
EM11_WD1,W = REARED SNIFF,1.2383
EM11_WD1,W = REARED SNIFF,5.0078
EM11_WD1,A = LOCOMOTION,1.3985
EM11_WD1,W = REARED SNIFF,7.7383
EM11_WD1,A = LOCOMOTION,1.3593
EM11_WD1,W = REARED SNIFF,10.918
EM11_WD1,W = REARED SNIFF,0.1875
EM11_WD1,A = LOCOMOTION,0.6367
EM11_WD1,W = REARED SNIFF,6.3945
EM11_WD1,A = LOCOMOTION,0.1601
